rid,model,prompt,mode,seed
R129,ChatGPT,1,normal,1
R133,Gemini,3,normal,1
R141,Claude,1,normal,3
R171,Claude,3,laconic,3
R173,Gemini,3,laconic,1
R185,Gemini,3,normal,3
R192,ChatGPT,1,laconic,1
R200,ChatGPT,1,normal,2
R206,ChatGPT,3,normal,2
R223,ChatGPT,2,normal,1
R259,Claude,1,laconic,2
R279,Claude,2,laconic,1
R297,ChatGPT,3,laconic,2
R310,ChatGPT,2,normal,2
R314,Claude,3,laconic,1
R316,Claude,3,normal,2
R317,Claude,3,normal,3
R320,Gemini,2,normal,3
R344,Gemini,2,normal,1
R348,Gemini,1,laconic,2
R369,Claude,2,normal,2
R385,Claude,2,normal,1
R422,Claude,1,laconic,3
R434,Gemini,1,laconic,1
R457,ChatGPT,2,normal,3
R462,ChatGPT,3,normal,3
R464,ChatGPT,3,laconic,1
R465,Gemini,1,normal,2
R470,Gemini,2,laconic,1
R489,ChatGPT,1,laconic,3
R497,ChatGPT,3,laconic,3
R529,Claude,2,normal,3
R602,Gemini,1,laconic,3
R606,ChatGPT,1,normal,3
R607,ChatGPT,2,laconic,2
R623,Claude,2,laconic,2
R632,ChatGPT,2,laconic,3
R635,Claude,1,normal,1
R636,Gemini,1,normal,1
R642,Gemini,2,normal,2
R721,Claude,3,laconic,2
R776,Gemini,3,laconic,3
R877,ChatGPT,3,normal,1
R879,Claude,1,laconic,1
R911,ChatGPT,2,laconic,1
R923,Claude,1,normal,2
R930,Claude,3,normal,1
R932,Gemini,2,laconic,3
R947,Gemini,3,normal,2
R949,Gemini,2,laconic,2
R970,ChatGPT,1,laconic,2
R987,Gemini,3,laconic,2
R989,Gemini,1,normal,3
R992,Claude,2,laconic,3
