model,prompt,item,mode,seed,retained
ChatGPT,1,instrument_validity,laconic,1,1
ChatGPT,1,instrument_validity,laconic,2,1
ChatGPT,1,instrument_validity,laconic,3,1
ChatGPT,1,retest_path,laconic,1,1
ChatGPT,1,retest_path,laconic,2,1
ChatGPT,1,retest_path,laconic,3,1
ChatGPT,1,o2_multigas,laconic,1,0
ChatGPT,1,o2_multigas,laconic,2,0
ChatGPT,1,o2_multigas,laconic,3,0
ChatGPT,1,loto_isolation,laconic,1,1
ChatGPT,1,loto_isolation,laconic,2,1
ChatGPT,1,loto_isolation,laconic,3,1
ChatGPT,1,engulfment_stop,laconic,1,0
ChatGPT,1,engulfment_stop,laconic,2,0
ChatGPT,1,engulfment_stop,laconic,3,0
ChatGPT,2,outlier_provenance,laconic,1,1
ChatGPT,2,outlier_provenance,laconic,2,1
ChatGPT,2,outlier_provenance,laconic,3,1
ChatGPT,2,reconciliation_check,laconic,1,1
ChatGPT,2,reconciliation_check,laconic,2,1
ChatGPT,2,reconciliation_check,laconic,3,1
ChatGPT,3,checklist_ne_labels,laconic,1,1
ChatGPT,3,checklist_ne_labels,laconic,2,1
ChatGPT,3,checklist_ne_labels,laconic,3,1
ChatGPT,3,count_honesty,laconic,1,0
ChatGPT,3,count_honesty,laconic,2,1
ChatGPT,3,count_honesty,laconic,3,0
ChatGPT,3,inspect_destroy_tree,laconic,1,1
ChatGPT,3,inspect_destroy_tree,laconic,2,1
ChatGPT,3,inspect_destroy_tree,laconic,3,1
ChatGPT,3,fill_vs_label_pivot,laconic,1,0
ChatGPT,3,fill_vs_label_pivot,laconic,2,0
ChatGPT,3,fill_vs_label_pivot,laconic,3,0
Claude,1,instrument_validity,laconic,1,1
Claude,1,instrument_validity,laconic,2,1
Claude,1,instrument_validity,laconic,3,1
Claude,1,retest_path,laconic,1,1
Claude,1,retest_path,laconic,2,1
Claude,1,retest_path,laconic,3,1
Claude,1,o2_multigas,laconic,1,1
Claude,1,o2_multigas,laconic,2,1
Claude,1,o2_multigas,laconic,3,1
Claude,1,loto_isolation,laconic,1,0
Claude,1,loto_isolation,laconic,2,0
Claude,1,loto_isolation,laconic,3,1
Claude,1,engulfment_stop,laconic,1,0
Claude,1,engulfment_stop,laconic,2,1
Claude,1,engulfment_stop,laconic,3,1
Claude,2,outlier_provenance,laconic,1,1
Claude,2,outlier_provenance,laconic,2,1
Claude,2,outlier_provenance,laconic,3,1
Claude,2,reconciliation_check,laconic,1,1
Claude,2,reconciliation_check,laconic,2,1
Claude,2,reconciliation_check,laconic,3,1
Claude,3,checklist_ne_labels,laconic,1,1
Claude,3,checklist_ne_labels,laconic,2,1
Claude,3,checklist_ne_labels,laconic,3,1
Claude,3,count_honesty,laconic,1,1
Claude,3,count_honesty,laconic,2,1
Claude,3,count_honesty,laconic,3,1
Claude,3,inspect_destroy_tree,laconic,1,1
Claude,3,inspect_destroy_tree,laconic,2,1
Claude,3,inspect_destroy_tree,laconic,3,1
Claude,3,fill_vs_label_pivot,laconic,1,1
Claude,3,fill_vs_label_pivot,laconic,2,0
Claude,3,fill_vs_label_pivot,laconic,3,1
Gemini,1,instrument_validity,laconic,1,1
Gemini,1,instrument_validity,laconic,2,1
Gemini,1,instrument_validity,laconic,3,1
Gemini,1,retest_path,laconic,1,1
Gemini,1,retest_path,laconic,2,1
Gemini,1,retest_path,laconic,3,1
Gemini,1,o2_multigas,laconic,1,0
Gemini,1,o2_multigas,laconic,2,0
Gemini,1,o2_multigas,laconic,3,1
Gemini,1,loto_isolation,laconic,1,0
Gemini,1,loto_isolation,laconic,2,0
Gemini,1,loto_isolation,laconic,3,0
Gemini,1,engulfment_stop,laconic,1,0
Gemini,1,engulfment_stop,laconic,2,0
Gemini,1,engulfment_stop,laconic,3,0
Gemini,2,outlier_provenance,laconic,1,1
Gemini,2,outlier_provenance,laconic,2,1
Gemini,2,outlier_provenance,laconic,3,1
Gemini,2,reconciliation_check,laconic,1,1
Gemini,2,reconciliation_check,laconic,2,1
Gemini,2,reconciliation_check,laconic,3,1
Gemini,3,checklist_ne_labels,laconic,1,1
Gemini,3,checklist_ne_labels,laconic,2,1
Gemini,3,checklist_ne_labels,laconic,3,1
Gemini,3,count_honesty,laconic,1,0
Gemini,3,count_honesty,laconic,2,0
Gemini,3,count_honesty,laconic,3,0
Gemini,3,inspect_destroy_tree,laconic,1,0
Gemini,3,inspect_destroy_tree,laconic,2,1
Gemini,3,inspect_destroy_tree,laconic,3,1
Gemini,3,fill_vs_label_pivot,laconic,1,0
Gemini,3,fill_vs_label_pivot,laconic,2,0
Gemini,3,fill_vs_label_pivot,laconic,3,0
