rid,prompt,item,retained
R129,1,instrument_validity,1
R129,1,retest_path,1
R129,1,o2_multigas,1
R129,1,loto_isolation,1
R129,1,engulfment_stop,0
R133,3,checklist_ne_labels,1
R133,3,count_honesty,0
R133,3,inspect_destroy_tree,1
R133,3,fill_vs_label_pivot,0
R141,1,instrument_validity,1
R141,1,retest_path,1
R141,1,o2_multigas,1
R141,1,loto_isolation,1
R141,1,engulfment_stop,1
R171,3,checklist_ne_labels,1
R171,3,count_honesty,1
R171,3,inspect_destroy_tree,1
R171,3,fill_vs_label_pivot,1
R173,3,checklist_ne_labels,1
R173,3,count_honesty,0
R173,3,inspect_destroy_tree,0
R173,3,fill_vs_label_pivot,0
R185,3,checklist_ne_labels,1
R185,3,count_honesty,0
R185,3,inspect_destroy_tree,1
R185,3,fill_vs_label_pivot,0
R192,1,instrument_validity,1
R192,1,retest_path,1
R192,1,o2_multigas,0
R192,1,loto_isolation,1
R192,1,engulfment_stop,0
R200,1,instrument_validity,1
R200,1,retest_path,1
R200,1,o2_multigas,1
R200,1,loto_isolation,1
R200,1,engulfment_stop,1
R206,3,checklist_ne_labels,1
R206,3,count_honesty,1
R206,3,inspect_destroy_tree,1
R206,3,fill_vs_label_pivot,0
R223,2,outlier_provenance,1
R223,2,reconciliation_check,1
R259,1,instrument_validity,1
R259,1,retest_path,1
R259,1,o2_multigas,1
R259,1,loto_isolation,0
R259,1,engulfment_stop,1
R279,2,outlier_provenance,1
R279,2,reconciliation_check,1
R297,3,checklist_ne_labels,1
R297,3,count_honesty,1
R297,3,inspect_destroy_tree,1
R297,3,fill_vs_label_pivot,0
R310,2,outlier_provenance,1
R310,2,reconciliation_check,1
R314,3,checklist_ne_labels,1
R314,3,count_honesty,1
R314,3,inspect_destroy_tree,1
R314,3,fill_vs_label_pivot,1
R316,3,checklist_ne_labels,1
R316,3,count_honesty,1
R316,3,inspect_destroy_tree,1
R316,3,fill_vs_label_pivot,1
R317,3,checklist_ne_labels,1
R317,3,count_honesty,1
R317,3,inspect_destroy_tree,1
R317,3,fill_vs_label_pivot,1
R320,2,outlier_provenance,1
R320,2,reconciliation_check,1
R344,2,outlier_provenance,1
R344,2,reconciliation_check,0
R348,1,instrument_validity,1
R348,1,retest_path,1
R348,1,o2_multigas,0
R348,1,loto_isolation,0
R348,1,engulfment_stop,0
R369,2,outlier_provenance,1
R369,2,reconciliation_check,1
R385,2,outlier_provenance,1
R385,2,reconciliation_check,1
R422,1,instrument_validity,1
R422,1,retest_path,1
R422,1,o2_multigas,1
R422,1,loto_isolation,1
R422,1,engulfment_stop,1
R434,1,instrument_validity,1
R434,1,retest_path,1
R434,1,o2_multigas,0
R434,1,loto_isolation,0
R434,1,engulfment_stop,0
R457,2,outlier_provenance,1
R457,2,reconciliation_check,1
R462,3,checklist_ne_labels,1
R462,3,count_honesty,0
R462,3,inspect_destroy_tree,1
R462,3,fill_vs_label_pivot,0
R464,3,checklist_ne_labels,1
R464,3,count_honesty,0
R464,3,inspect_destroy_tree,1
R464,3,fill_vs_label_pivot,0
R465,1,instrument_validity,1
R465,1,retest_path,1
R465,1,o2_multigas,1
R465,1,loto_isolation,1
R465,1,engulfment_stop,1
R470,2,outlier_provenance,1
R470,2,reconciliation_check,1
R489,1,instrument_validity,1
R489,1,retest_path,1
R489,1,o2_multigas,0
R489,1,loto_isolation,1
R489,1,engulfment_stop,0
R497,3,checklist_ne_labels,1
R497,3,count_honesty,0
R497,3,inspect_destroy_tree,1
R497,3,fill_vs_label_pivot,0
R529,2,outlier_provenance,1
R529,2,reconciliation_check,1
R602,1,instrument_validity,1
R602,1,retest_path,1
R602,1,o2_multigas,1
R602,1,loto_isolation,0
R602,1,engulfment_stop,0
R606,1,instrument_validity,1
R606,1,retest_path,1
R606,1,o2_multigas,1
R606,1,loto_isolation,1
R606,1,engulfment_stop,0
R607,2,outlier_provenance,1
R607,2,reconciliation_check,1
R623,2,outlier_provenance,1
R623,2,reconciliation_check,1
R632,2,outlier_provenance,1
R632,2,reconciliation_check,1
R635,1,instrument_validity,1
R635,1,retest_path,1
R635,1,o2_multigas,1
R635,1,loto_isolation,1
R635,1,engulfment_stop,1
R636,1,instrument_validity,1
R636,1,retest_path,1
R636,1,o2_multigas,1
R636,1,loto_isolation,1
R636,1,engulfment_stop,1
R642,2,outlier_provenance,1
R642,2,reconciliation_check,1
R721,3,checklist_ne_labels,1
R721,3,count_honesty,1
R721,3,inspect_destroy_tree,1
R721,3,fill_vs_label_pivot,0
R776,3,checklist_ne_labels,1
R776,3,count_honesty,0
R776,3,inspect_destroy_tree,1
R776,3,fill_vs_label_pivot,0
R877,3,checklist_ne_labels,1
R877,3,count_honesty,1
R877,3,inspect_destroy_tree,1
R877,3,fill_vs_label_pivot,0
R879,1,instrument_validity,1
R879,1,retest_path,1
R879,1,o2_multigas,1
R879,1,loto_isolation,0
R879,1,engulfment_stop,0
R911,2,outlier_provenance,1
R911,2,reconciliation_check,1
R923,1,instrument_validity,1
R923,1,retest_path,1
R923,1,o2_multigas,1
R923,1,loto_isolation,1
R923,1,engulfment_stop,1
R930,3,checklist_ne_labels,1
R930,3,count_honesty,1
R930,3,inspect_destroy_tree,1
R930,3,fill_vs_label_pivot,1
R932,2,outlier_provenance,1
R932,2,reconciliation_check,1
R947,3,checklist_ne_labels,1
R947,3,count_honesty,0
R947,3,inspect_destroy_tree,1
R947,3,fill_vs_label_pivot,0
