model,prompt,prompt_slug,mode,seed,words
ChatGPT,1,silo-entry,laconic,1,52
ChatGPT,1,silo-entry,laconic,2,43
ChatGPT,1,silo-entry,laconic,3,43
ChatGPT,1,silo-entry,normal,1,318
ChatGPT,1,silo-entry,normal,2,303
ChatGPT,1,silo-entry,normal,3,344
ChatGPT,2,pallet-7,laconic,1,41
ChatGPT,2,pallet-7,laconic,2,43
ChatGPT,2,pallet-7,laconic,3,52
ChatGPT,2,pallet-7,normal,1,292
ChatGPT,2,pallet-7,normal,2,195
ChatGPT,2,pallet-7,normal,3,224
ChatGPT,3,label-window,laconic,1,32
ChatGPT,3,label-window,laconic,2,42
ChatGPT,3,label-window,laconic,3,28
ChatGPT,3,label-window,normal,1,178
ChatGPT,3,label-window,normal,2,193
ChatGPT,3,label-window,normal,3,124
Claude,1,silo-entry,laconic,1,193
Claude,1,silo-entry,laconic,2,197
Claude,1,silo-entry,laconic,3,246
Claude,1,silo-entry,normal,1,537
Claude,1,silo-entry,normal,2,564
Claude,1,silo-entry,normal,3,536
Claude,2,pallet-7,laconic,1,181
Claude,2,pallet-7,laconic,2,185
Claude,2,pallet-7,laconic,3,162
Claude,2,pallet-7,normal,1,539
Claude,2,pallet-7,normal,2,460
Claude,2,pallet-7,normal,3,492
Claude,3,label-window,laconic,1,196
Claude,3,label-window,laconic,2,207
Claude,3,label-window,laconic,3,201
Claude,3,label-window,normal,1,478
Claude,3,label-window,normal,2,510
Claude,3,label-window,normal,3,552
Gemini,1,silo-entry,laconic,1,64
Gemini,1,silo-entry,laconic,2,75
Gemini,1,silo-entry,laconic,3,57
Gemini,1,silo-entry,normal,1,615
Gemini,1,silo-entry,normal,2,444
Gemini,1,silo-entry,normal,3,511
Gemini,2,pallet-7,laconic,1,65
Gemini,2,pallet-7,laconic,2,49
Gemini,2,pallet-7,laconic,3,55
Gemini,2,pallet-7,normal,1,292
Gemini,2,pallet-7,normal,2,354
Gemini,2,pallet-7,normal,3,398
Gemini,3,label-window,laconic,1,76
Gemini,3,label-window,laconic,2,45
Gemini,3,label-window,laconic,3,53
Gemini,3,label-window,normal,1,449
Gemini,3,label-window,normal,2,409
Gemini,3,label-window,normal,3,502
